path,has_ordered_layout,has_ungrouped_widgets,has_all_title_case_groups,has_overview_section,about_section_contains_text,about_section_contains_banner_img,total_query_values,query_values_have_timeseries_background,query_values_have_conditional_formats,total_widgets_legends,widgets_legends_shown
cassandra/assets/dashboards/cassandra_read.json,True,True,True,False,False,False,0,0,0,0,0
cassandra/assets/dashboards/cassandra_overview.json,True,True,True,False,False,False,0,0,0,0,0
cassandra/assets/dashboards/cassandra_write.json,True,True,True,False,False,False,0,0,0,0,0
mesos_slave/assets/dashboards/mesos_overview.json,False,True,True,False,False,False,0,0,0,0,0
mysql/assets/dashboards/overview.json,True,True,True,False,False,False,0,0,0,0,0
mysql/assets/dashboards/overview-screenboard.json,True,False,False,False,True,True,3,0,1,17,5
zeek/assets/dashboards/zeek_detection.json,True,True,False,False,False,False,1,1,0,1,1
zeek/assets/dashboards/zeek_datared.json,True,True,True,True,False,False,0,0,0,0,0
zeek/assets/dashboards/zeek_network_protocols_ntp_snmp_ssl.json,True,True,False,False,False,False,6,2,0,1,1
zeek/assets/dashboards/zeek_miscellaneous.json,True,True,False,False,False,False,1,1,0,0,0
zeek/assets/dashboards/zeek_network_observations.json,True,True,False,False,False,False,2,2,0,1,1
zeek/assets/dashboards/zeek_dhcp.json,True,True,False,False,False,False,0,0,0,0,0
zeek/assets/dashboards/zeek_files.json,True,True,True,False,False,False,12,12,0,1,1
zeek/assets/dashboards/zeek_connections.json,True,True,True,False,False,False,3,3,0,3,3
zeek/assets/dashboards/zeek_syslog.json,True,True,True,False,False,False,0,0,0,0,0
zeek/assets/dashboards/zeek_dns.json,True,True,False,False,False,False,4,4,0,2,2
zeek/assets/dashboards/corelight_suricata.json,True,True,True,False,False,False,1,1,0,1,1
zeek/assets/dashboards/zeek_network_protocols.json,True,True,False,False,False,False,9,9,0,2,0
zeek/assets/dashboards/zeek_diagnostics.json,True,True,True,False,False,False,0,0,0,1,1
druid/assets/dashboards/overview.json,False,True,True,False,False,False,0,0,0,0,0
sqlserver/assets/dashboards/SQLServer-Overview_dashboard.json,True,False,False,False,True,True,4,4,1,21,6
sqlserver/assets/dashboards/sqlserver_dashboard.json,True,True,True,False,False,False,0,0,0,0,0
sqlserver/assets/dashboards/SQLServer-AlwaysOn_dashboard.json,True,False,False,True,True,True,0,0,0,6,6
riakcs/assets/dashboards/riakcs_dashboard.json,True,True,True,False,False,False,0,0,0,0,0
etcd/assets/dashboards/etcd_2_overview.json,False,True,True,False,False,False,0,0,0,0,0
etcd/assets/dashboards/etcd_overview.json,True,False,False,False,False,True,3,1,1,20,11
azure_iot_edge/assets/dashboards/overview.json,False,True,True,False,False,False,0,0,0,0,0
redisdb/assets/dashboards/overview.json,True,False,True,True,True,True,7,0,7,12,6
tekton/assets/dashboards/overview.json,True,False,False,True,True,True,0,0,0,9,9
hive/assets/dashboards/overview.json,False,True,True,False,False,False,0,0,0,0,0
datadog_operator/assets/dashboards/operator_overview.json,True,False,True,True,False,False,12,0,2,23,21
mcache/assets/dashboards/memcached_dashboard.json,True,True,True,False,False,False,0,0,0,0,0
mcache/assets/dashboards/memcached_screenboard.json,True,False,True,False,True,True,3,0,2,12,9
airbyte/assets/dashboards/airbyte_overview.json,True,False,False,True,False,True,10,3,1,16,16
calico/assets/dashboards/calico_overview.json,True,False,False,True,False,False,3,0,0,6,6
mongo/assets/dashboards/overview.json,True,False,False,True,True,True,7,0,0,14,12
amazon_msk/assets/dashboards/overview.json,True,False,False,False,False,True,0,0,0,11,11
tokumx/assets/dashboards/tokumx_dashboard.json,True,True,True,False,False,False,0,0,0,0,0
postfix/assets/dashboards/postfix_dashboard.json,True,True,True,False,False,False,0,0,0,0,0
