metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
couchdb.couchdb.httpd_status_codes.417,gauge,,request,,number of HTTP 417 Expectation Failed responses,-1,couchdb2,
couchdb.couchdb.httpd_status_codes.500,gauge,,request,,number of HTTP 500 Internal Server Error responses,-1,couchdb2,
couchdb.couchdb.httpd_status_codes.501,gauge,,request,,number of HTTP 501 Not Implemented responses,-1,couchdb2,
couchdb.couchdb.open_databases,gauge,,resource,,number of open databases,0,couchdb2,
couchdb.couchdb.open_os_files,gauge,,file,,number of file descriptors CouchDB has open,0,couchdb2,
couchdb.couchdb.request_time.min,gauge,,millisecond,,Min of the length of a request inside CouchDB without MochiWeb (available for CouchDB v1 only),-1,couchdb2,
couchdb.couchdb.request_time.max,gauge,,millisecond,,Max of the length of a request inside CouchDB without MochiWeb (available for CouchDB v1 only),-1,couchdb2,
couchdb.couchdb.request_time.arithmetic_mean,gauge,,millisecond,,Arithmetic_mean of the length of a request inside CouchDB without MochiWeb (available for CouchDB v1 only),-1,couchdb2,
couchdb.couchdb.request_time.geometric_mean,gauge,,millisecond,,Geometric_mean of the length of a request inside CouchDB without MochiWeb (available for CouchDB v1 only),-1,couchdb2,
couchdb.couchdb.request_time.harmonic_mean,gauge,,millisecond,,Harmonic_mean of the length of a request inside CouchDB without MochiWeb (available for CouchDB v1 only),-1,couchdb2,
couchdb.couchdb.request_time.median,gauge,,millisecond,,Median of the length of a request inside CouchDB without MochiWeb (available for CouchDB v1 only),-1,couchdb2,
couchdb.couchdb.request_time.variance,gauge,,millisecond,,Variance of the length of a request inside CouchDB without MochiWeb (available for CouchDB v1 only),-1,couchdb2,
couchdb.couchdb.request_time.standard_deviation,gauge,,millisecond,,Standard_deviation of the length of a request inside CouchDB without MochiWeb (available for CouchDB v1 only),-1,couchdb2,
couchdb.couchdb.request_time.skewness,gauge,,millisecond,,Skewness of the length of a request inside CouchDB without MochiWeb (available for CouchDB v1 only),-1,couchdb2,
couchdb.couchdb.request_time.kurtosis,gauge,,millisecond,,Kurtosis of the length of a request inside CouchDB without MochiWeb (available for CouchDB v1 only),-1,couchdb2,
couchdb.couchdb.request_time.percentile.50,gauge,,millisecond,,Percentile 50 of the length of a request inside CouchDB without MochiWeb (available for CouchDB v1 only),-1,couchdb2,
couchdb.couchdb.request_time.percentile.75,gauge,,millisecond,,Percentile 75 of the length of a request inside CouchDB without MochiWeb (available for CouchDB v1 only),-1,couchdb2,
couchdb.couchdb.request_time.percentile.90,gauge,,millisecond,,Percentile 90 of the length of a request inside CouchDB without MochiWeb (available for CouchDB v1 only),-1,couchdb2,
couchdb.couchdb.request_time.percentile.95,gauge,,millisecond,,Percentile 95 of the length of a request inside CouchDB without MochiWeb (available for CouchDB v1 only),-1,couchdb2,
couchdb.couchdb.request_time.percentile.99,gauge,,millisecond,,Percentile 99 of the length of a request inside CouchDB without MochiWeb (available for CouchDB v1 only),-1,couchdb2,
couchdb.couchdb.request_time.percentile.999,gauge,,millisecond,,Percentile 999 of the length of a request inside CouchDB without MochiWeb (available for CouchDB v1 only),-1,couchdb2,
couchdb.couchdb.request_time.n,gauge,,millisecond,,N of the length of a request inside CouchDB without MochiWeb (available for CouchDB v1 only),0,couchdb2,
couchdb.couchdb.couch_server.lru_skip,gauge,,operation,,number of couch_server LRU operations skipped,-1,couchdb2,
couchdb.couchdb.query_server.vdu_rejects,gauge,,event,,number of rejections by validate_doc_update function,-1,couchdb2,
couchdb.couchdb.query_server.vdu_process_time.min,gauge,,millisecond,,Min of the duration of validate_doc_update function calls,-1,couchdb2,
couchdb.couchdb.query_server.vdu_process_time.max,gauge,,millisecond,,Max of the duration of validate_doc_update function calls,-1,couchdb2,
couchdb.couchdb.query_server.vdu_process_time.arithmetic_mean,gauge,,millisecond,,Arithmetic_mean of the duration of validate_doc_update function calls,-1,couchdb2,
couchdb.couchdb.query_server.vdu_process_time.geometric_mean,gauge,,millisecond,,Geometric_mean of the duration of validate_doc_update function calls,-1,couchdb2,
couchdb.couchdb.query_server.vdu_process_time.harmonic_mean,gauge,,millisecond,,Harmonic_mean of the duration of validate_doc_update function calls,-1,couchdb2,
couchdb.couchdb.query_server.vdu_process_time.median,gauge,,millisecond,,Median of the duration of validate_doc_update function calls,-1,couchdb2,
couchdb.couchdb.query_server.vdu_process_time.variance,gauge,,millisecond,,Variance of the duration of validate_doc_update function calls,-1,couchdb2,
couchdb.couchdb.query_server.vdu_process_time.standard_deviation,gauge,,millisecond,,Standard_deviation of the duration of validate_doc_update function calls,-1,couchdb2,
couchdb.couchdb.query_server.vdu_process_time.skewness,gauge,,millisecond,,Skewness of the duration of validate_doc_update function calls,-1,couchdb2,
couchdb.couchdb.query_server.vdu_process_time.kurtosis,gauge,,millisecond,,Kurtosis of the duration of validate_doc_update function calls,-1,couchdb2,
couchdb.couchdb.query_server.vdu_process_time.percentile.50,gauge,,millisecond,,Percentile 50 of the duration of validate_doc_update function calls,-1,couchdb2,
couchdb.couchdb.query_server.vdu_process_time.percentile.75,gauge,,millisecond,,Percentile 75 of the duration of validate_doc_update function calls,-1,couchdb2,
couchdb.couchdb.query_server.vdu_process_time.percentile.90,gauge,,millisecond,,Percentile 90 of the duration of validate_doc_update function calls,-1,couchdb2,
couchdb.couchdb.query_server.vdu_process_time.percentile.95,gauge,,millisecond,,Percentile 95 of the duration of validate_doc_update function calls,-1,couchdb2,
couchdb.couchdb.query_server.vdu_process_time.percentile.99,gauge,,millisecond,,Percentile 99 of the duration of validate_doc_update function calls,-1,couchdb2,
couchdb.couchdb.query_server.vdu_process_time.percentile.999,gauge,,millisecond,,Percentile 999 of the duration of validate_doc_update function calls,-1,couchdb2,
couchdb.couchdb.query_server.vdu_process_time.n,gauge,,millisecond,,N of the duration of validate_doc_update function calls,0,couchdb2,
